profile,type,REGION,time,price
wind,Energy,NSW,1/03/2025,98.4
wind,Energy,QLD,1/03/2025,125.7
wind,Energy,SA,1/03/2025,116.6
wind,Energy,VIC,1/03/2025,102.1
wind,green,NSW,1/03/2025,41
wind,green,QLD,1/03/2025,41
wind,green,SA,1/03/2025,41
wind,green,VIC,1/03/2025,41
baseload,green,NSW,1/03/2025,41
baseload,green,QLD,1/03/2025,41
baseload,green,SA,1/03/2025,41
baseload,green,VIC,1/03/2025,41
baseload,Energy,NSW,1/04/2025,83.7
baseload,Energy,QLD,1/04/2025,82.6
baseload,Energy,SA,1/04/2025,87.5
baseload,Energy,VIC,1/04/2025,70.3
solar,Energy,NSW,1/04/2025,35.5
solar,Energy,QLD,1/04/2025,36.1
solar,Energy,SA,1/04/2025,40
solar,Energy,VIC,1/04/2025,24.4
solar,green,NSW,1/04/2025,41
solar,green,QLD,1/04/2025,41
solar,green,SA,1/04/2025,41
solar,green,VIC,1/04/2025,41
wind,Energy,NSW,1/04/2025,86.8
wind,Energy,QLD,1/04/2025,84.2
wind,Energy,SA,1/04/2025,72.3
wind,Energy,VIC,1/04/2025,48.4
wind,green,NSW,1/04/2025,41
wind,green,QLD,1/04/2025,41
wind,green,SA,1/04/2025,41
wind,green,VIC,1/04/2025,41
baseload,green,NSW,1/04/2025,41
baseload,green,QLD,1/04/2025,41
baseload,green,SA,1/04/2025,41
baseload,green,VIC,1/04/2025,41
baseload,Energy,NSW,1/05/2025,86.5
baseload,Energy,QLD,1/05/2025,92.4
baseload,Energy,SA,1/05/2025,34
baseload,Energy,VIC,1/05/2025,30.2
solar,Energy,NSW,1/05/2025,28.2
solar,Energy,QLD,1/05/2025,40
solar,Energy,SA,1/05/2025,-11.5
solar,Energy,VIC,1/05/2025,-9.4
solar,green,NSW,1/05/2025,41
solar,green,QLD,1/05/2025,41
solar,green,SA,1/05/2025,41
solar,green,VIC,1/05/2025,41
wind,Energy,NSW,1/05/2025,85.3
wind,Energy,QLD,1/05/2025,98.3
wind,Energy,SA,1/05/2025,7.2
wind,Energy,VIC,1/05/2025,7.3
wind,green,NSW,1/05/2025,41
